"address","maker_trades_1wk","maker_avg_size","maker_unique_markets"
"0xb6e9b13eff71f87342e8baeff56ae2afb3b53008",50480,20.83,1866
"0x5f211a24da4c005d9438a1ea269673b85ed0b376",50242,1.4861,1956
"0xba264376d6fef08f23a44db4153d12d47f5f23c9",50213,153.4723,9551
"0xb066420c951615bbda3cee4092b6c06b1a1ca0d7",49525,14.2126,1673
"0x9b9ff79cdc3c6dc3abbc494b06ea577567bea26a",49013,40.3747,412
"0xddf8c2b88e81f3a5e4bf168d81c1b1b4e8d48285",48582,2.5771,552
"0x1822a18003640d2e6fbad7f95222a90bd0dc5a20",48535,2.2969,1980
"0x87650b9f63563f7c456d9bbcceee5f9faf06ed81",48387,0.8785,6667
"0x203f6f1fa096197f735434c7000758964beb521e",48341,4.4606,601
"0xad6f2d2150a3991ac6cd16df8fb5e2807608b2fb",48059,13.9169,1667
"0xe9806960a7b24b78d715fef823e596fd67fd57c9",47722,6.1546,3655
"0xfafd569f8d94b60e9b89161470d1f132eaf19b3e",47666,0.1228,7569
"0xd399ba186f89721f79e0a72bfa6c9babd2e13f46",47562,1.0172,23
"0xe38b7a6553cbcac3bf6d9e22c83cdce092951fdc",47444,10.0912,2121
"0xb0620b8953d278fba89b725209efc6af80a58700",47437,5.3846,4413
"0x3078db4a9737866b4d6529f655025b3a20f80389",46739,5.3889,1334
"0x3b5a5271122cab38828140c815df362409d5b293",46593,16.533,1052
"0xe5ba4fae3e972ca928d2d539223f2126ae14add1",44755,2.0646,905
"0x59fee6ccaca4793228f09c83868df3442a8714fd",44501,1.9819,3097
"0x4b1c18f27f1106ea48ca033479e3b82c20b11e90",44442,13.1537,1052
"0xfedc381bf3fb5d20433bb4a0216b15dbbc5c6398",44417,0.8449,25
"0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1",44314,1243.5525,382
"0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71",44084,32.5501,3582
"0xd6c40ae6792d2ae571451116b77ced60e52cd354",44010,6.319,3424
"0xd6000a815572e5cbbe2c743bb6b716aa3763b66e",43992,2.5306,334
"0x098f194dada98c0b046a5d85c8ddb7f27b0b3da0",43818,15.1457,1366
"0xe790b0e6bcdaca3c430fdaa4d86e2d8ae6e6eadc",43500,118.9936,204
"0x679c22f5d9b8d1216acbb7bf432960bf5a10afff",43059,1.6667,1192
"0x090af6fd2aeb04202abc97370aa86c1b81d90fa6",43014,15.5352,1571
"0x272b9a72ff25d164a4f265e2ac78f73904bfddc3",42551,13.6893,1310
"0x680fa9772ad78dec86f10790afb2e7523f24668d",42399,16.125,1447
"0x203710b74089d218cad7017dede651a123d1efb1",42282,17.9096,3773
"0x4396378a91ba74be2b448f83c586574871fc332a",42089,2.4671,1041
"0x9b4a306212f061e8606430acb65bf133adf9e2bf",41788,0.2392,16811
"0x8117979b0387ddff82b3be57049e452a356b99cc",41402,13.4237,1385
"0x111f73e91f85b6fe4de1ddec3de2fe32122e355b",41265,10.1796,1342
"0xffff6537da5efd428cc09187f90cbd2e726d4413",41159,16.8934,219
"0xbefa95c276ee8ef6ff3ef43d1c1c454f52bc300d",40861,0.702,447
"0x41aab9e044da5909fee94d34da750187f5a9dbd1",40765,15.1507,1537
"0x9bff660e1d747dc4dd18ea6e89f9ca8e0b61f622",40212,11.0953,549
"0xde17f7144fbd0eddb2679132c10ff5e74b120988",39580,136.2996,372
"0x5fa1c5fb34b821e98a6aed4378b5b9a29af2e70b",39435,2.3059,3648
"0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b",39189,101.3328,2009
"0xd6a3f0ec6c4a8ad680d580610c82ca57ff139489",39018,191.4928,1475
"0x38657069859c7359d8324fe652907529ea85fcbe",38688,1.1879,3230
"0x310bd4d2e86f5ed2b445d6d21f5ac6aa186c87ae",38630,3.1441,472
"0x969efd46f48a465962e8b477a5a770f7b5b7f969",38371,2.0531,850
"0x286f91ca92ba3536b0a0533fca3e378ff09f6388",37837,3.2425,657
"0x7f4db1ae154302f1112e233dfcc8f5c4022d7411",37626,2.1902,198
"0x87c301d4813daa0ae93f9d7c884e8336512f172d",37400,1.2017,5592
"0xead152b855effa6b5b5837f53b24c0756830c76a",37151,202.3261,614
"0xa44249937cef98e2ba306107e09e18a9604cd722",36975,6.493,3337
"0xd80ace15f3adeb0b6eee3472b7cecd3ca27bc714",36514,5.0449,442
"0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c",36398,6.9471,5414
"0x0a90db0eb84a0c8312e453c034721bd056218606",36395,4.7097,339
"0xd1922f466b05b55dbf9d93f4aff67899d57494eb",36055,4.3849,1698
"0x51fd8f0358cc9e8a1ee5f87a0c7e3b07ed634272",35952,1.3932,297
"0x6f07ed547f7c7b2ab737e99896f9394c1877c4f7",35747,4.474,1273
"0x960a8767429a920882154ec97d1135a7e5f8ed7a",35616,10.5615,663
"0x70e3ad8b787326cba1baf393ad281de795cf0e3b",35563,3.5227,312
"0xe7eefdf9635103db2f9429a2cc1df4a073120c34",35528,5.1532,1693
"0xf178222af08c15815d9ee6475924d4cd7a339323",35371,4.4681,249
"0x0c7c5204404e9d5402d258fedac59c7212bae4cb",35268,3.1298,606
"0xf68a281980f8c13828e84e147e3822381d6e5b1b",35149,110.1239,756
"0x01c78f8873c0c86d6b6b92ff627e3802237ee995",34871,57.7751,1408
"0x0bb0502bf8e6477ffd001d8ad2efd25b994a6257",34474,3.1481,424
"0x77bcf759a5bbbf604a52d839d5f68ead4c78b91b",34365,25.7777,1831
"0xa708513fb23aca0f73dc8ce6d105fcc726ab9321",33935,7.0499,1996
"0x64a46a989363eb21dab87cd53d57a4567ccbc103",33575,10.2514,1651
"0x772007b0347f31ba57673de818be5846d35af3bb",33205,11.7763,1955
"0x127bc69b51601504f52afff08f1868cfbcae46ac",33082,7.3495,1806
"0xb42873bd7468441b1c9d8668e665f177837b688b",32618,3.5006,1556
"0x4a867a1f268e153de1d359e337914a714fabd3e0",32346,54.0253,1021
"0x910e8320a144d5fcc4c5ba7bd104433f6f9ae434",32240,7.7165,113
"0xec2dbd55ec41f9b5f99f798f1b54f8867fa8c24e",32172,14.7063,3999
"0xc4bc910b52f0d373dfd360e91b16f8d7ab55963c",32157,3.2581,101
"0x0d05acd6baaa8ea1fac50ab74a7679ae6f534518",32057,49.0981,2991
"0x4bac379da2f29d87c01ff737843e396a2cec02b1",31845,1.1927,33
"0x50a6d11e84b6cadc62542dbf2b7d1e2958aae59e",31828,10.7177,625
"0x7f2d07a2247cf609fa41a7f2bc4229418878fbf5",31445,8.4801,2746
"0x53561a137fdae973ac1183074fa3c2aec2ac8a62",31301,12.034,664
"0xc3584c39a46f3a134d0b26b747b839480ac5c52e",31131,3.8184,2351
"0xe399dcc75a738346367b0e5cde40ba8067f67b3d",30769,16.0476,771
"0x084dde736e07b9e31e3ca7665da7de7476bad966",30577,6.3738,592
"0xd21644873b3518a4e5d1a85fc710a2dbc270eead",30500,0.3969,5627
"0x3b5c629f114098b0dee345fb78b7a3a013c7126e",30325,391.1818,1505
"0x74a2b82f079e12bcc25cd0d479f17979fb62e32f",29906,4.1829,933
"0x09aedca3605e725655e314a29b28910e0ec555bc",29502,5.2325,10181
"0x8c90bff94b638a64c0377cd66f4c5bcba4e46e09",29421,13.7113,7216
"0xb51a1c4587080aada0944dfafe5abd66790620b3",29159,10.7692,879
"0x993fe20a9ecfb7e3c072f7f8c3dcbf87243b35cb",29033,6.0776,3162
"0xb18d4787e6f831ba754270f979496e8b425e26ea",28906,16.4648,1691
"0x8e9cd5ec7a26d602b63b4bc4c193febb83c8ed64",28818,4.6454,1670
"0x78820911363d70462b71595b29a0ccf6f43d76bd",28756,3.1898,376
"0x594edb9112f526fa6a80b8f858a6379c8a2c1c11",28480,27.5203,640
"0x82a9ca3dac74910ceaace565832400dfdf26c9a1",28422,5.4619,667
"0x63d3fd1fb8f97d01596969e0316022a6126c752f",28322,4.7774,840
"0x41bf647eca4a6e7ce791cbb92535b1dd64b2f0cf",28272,15.4604,2127
"0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096",28270,63.8804,79
"0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a",28226,23.5879,193
"0xbbf93c3d184f8a6c558c93be38ead60cf53e2584",28102,9.1713,899
"0xc8ab97a9089a9ff7e6ef0688e6e591a066946418",28038,320.2018,1536
"0x6be58d153035c661dde696126843a34bead932d4",27750,5.5404,417
"0x8888a4f8c8d3834482d77405530d7f5428a40b39",27747,27.5726,2654
"0xe055d214540ba6fde3c5c18adb7fed9c02630628",27404,2.5821,436
"0xa07d087b4d1956aedb46966b44bee6e340fba037",27392,3.7926,1950
"0x6032b0a3d6a4371fc5264cad15c72191ca1f41a1",27306,4.1286,1569
"0xd212624d423e1c351783fe71bb4250850d34feaf",27227,6.217,518
"0x37c1874a60d348903594a96703e0507c518fc53a",27216,654.4413,1113
"0x9ce4901185188780948d2d2fe8529e20c953bbfd",26966,2.1955,3328
"0x6c4490948df4b4d88f5b9a800d5ad3cb629e3ae5",26825,5.7608,1672
"0x104387f9963868f08116155e7582ef86eeb409f1",26765,4.1041,3757
"0x9d94f602535e518ee1cb6aade0ca9569f1b1017d",26750,100.3027,656
"0x5d3cc45e538130b02c8f3c821638ec9cd350c298",26520,5.9543,2538
"0xd817c30b305e9882b5c87febe5f8bf458195ac33",26474,20.5621,1580
"0x18f392e324ed80142262f366aba2dfbccab1db98",26464,7.3953,2853
"0x02a6c5cb93c5601dc14ef1b6f0b9e8b8bfea9574",26393,2.1045,828
"0x326893d8a282c4c19e8db025dd84a18688c89862",26138,2.6161,1286
"0xa3d043b2da34f58045c6485d3f89b798b2b0ec04",25990,7.6748,2552
"0x9971129e61085298ab03a568fa663f88ebd6ee20",25932,4.0415,423
"0x3fea0c74a58bfecc700782da61fe599f75ee9231",25821,0.5127,9619
"0xbfd770b7ff07fb2ece41b0e7c593db65a84cf0bf",25674,19.332,1899
"0x88f17731836942b533f33958a302fb4c31bad3d0",25633,6.6793,7869
"0x97a106f78372c1fb270e247798afa08417ec820d",25594,6.1956,1415
"0x4c9497941333332d29f1c235dd23200f3623ffad",25336,1.9537,803
"0x43e98f912cd6ddadaad88d3297e78c0648e688e5",25270,3.3147,23
"0xb4d2499b6cabd0bb93672bb17c5ae47101759ee1",25220,57.3548,1649
"0xe0b10aae4a591173e75b406f488916d16809a837",25217,8.3521,2907
"0xd4189acaf8450c9adc2d5d4a8c515735cc03d11f",25211,5.6696,1281
"0x55ed268382b5ff657971e80258b15546b797d1da",25200,0.1951,9925
"0x0c74f00c5f81045c44b0d148a37a3c8f51e286bf",25055,2.9849,823
